prolific_pid,goal_condition,decision_structure,chosen_question,chose_positive,chose_negative,base_rate,trial_id,strategy,chose_contaminated,chose_uncontaminated
6a0decf0e781a48d70ed748e,cont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""if they saw it definitely isn't we can rule it out""}",FALSE,TRUE
6a065bbe77a525c2c974079e,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""Simple question is the vial contaminated as they saw some that were ""}",TRUE,FALSE
67657279b0bce380fa33721e,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I felt it was more useful to know if a vial was contaminated, although on reflection maybe it doesn't matter what you ask because the answer will either be 'yes contaminated, no not contaminated, or don't know.  So you can determine if it is contaminated either way.""}",TRUE,FALSE
6a0f3039f7961567c3f306d2,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""If they saw that vial, they would know if it is contaminated. If they did not see it, it is not safe to use. ""}",TRUE,FALSE
69f5c80df1ec359efad2a688,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""They know a certain few are contaminated. So i need to understand which ones they know about""}",TRUE,FALSE
6a01c42c5b05bf933661e2f3,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I am more concerned about if it is contaminated rather than not contaminated""}",TRUE,FALSE
6978f1a4ec810b5bb4e0d7c1,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""It was more lit up compared to the other vials""}",TRUE,FALSE
69f76572931d6391d552623e,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""Because if you ask if the vial is contaminated, that cuts down what you're focusing on and you can get to work on that.""}",TRUE,FALSE
5fb5611ae70d1603f68b026a,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I feel like both questions effectively mean the same thing. I don't think it would change my colleague's answer.""}",TRUE,FALSE
69d7d67fd30867b10fb7e5b5,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""The goal was to run a test on an uncontaminated vial, so I asked them which one was definitely not contaminated. It's common sense. I would not have helped to be told which vial was definitely contaminated, because that's not the one I'm testing.""}",FALSE,TRUE
6a054c0d59104c95dc0fdf24,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""I figured that asking if the vial was uncontaminated would be the most helpful way to go about completing the actual goal. If my colleague was certain the vial in question was uncontaminated the goal would be met, If my colleague was not certain I figured I would get the same answer if I had asked if the vial was contaminated which wouldn’t get me any closer to the goal.""}",FALSE,TRUE
69fcbb92414ff9f2a4d48118,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""Using the word 'not' is confusing and less direct therefore I chose the question without the negative""}",TRUE,FALSE
6a0cd9ac064807d8fe113ff6,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""He was more certain on the ones that weren't contaminated so its phrased better for that instance.""}",TRUE,FALSE
63ea4b5592211a79471c9deb,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""I think it is easier to know which ones are NOT contaminated""}",FALSE,TRUE
66b4298a33369727249899a7,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I think it’s easier to ask about something concrete (what actually is) rather than what it is not.""}",TRUE,FALSE
5aae8ddfe1546900019af8d2,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I think it is best to figure out which ones are definitely contaminated and this feels like the clearest way to do so.""}",TRUE,FALSE
6a0ccf0b821af360deee21f4,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""Vial was highlighted a deeper blue""}",TRUE,FALSE
6235b6c27d448e66383f005a,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""It makes more sense to me to ask directly if it is contaminated, as that is what I need to know.""}",TRUE,FALSE
69f15dbd6e9b1a52ef136c18,cont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""Because she knows which certain vials weren't contaminated, but she doesn't know which of the others ARE contaminated.""}",FALSE,TRUE
69b08dddb6d05856671fecb9,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""He knows 3 of the vials which ere not contaminated so to run the test successful I would ask him to show the vials that are still ok to use""}",FALSE,TRUE
6a02ed5bd6acf52c07ab46fa,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""The reasoning was that that questions eliminated more possible ways to fair""}",FALSE,TRUE
693b90a846083092cd5d1f9f,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""Both of the questions seem appropriate. My choice is the one that sounds more natural and less likely to be misunderstood. ""}",TRUE,FALSE
5d7fd2a5987f70001602d95b,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""This question is more direct and my goal is to find the contaminate!""}",TRUE,FALSE
69efd6b0a093516b899d9ff2,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""You ask if they are contaminated because your colleague knows certain ones that are messed with versus not messed with. Also, if it is contaminated, you rule out that one. So the chances are higher for finding the untouched one as they get eliminated.""}",TRUE,FALSE
5d4a36e8a61675000169036f,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""This question seemed to be more straightforward to me. I think getting an answer will tell me whether there is an issue with the vial. The other question was too complicated.""}",TRUE,FALSE
664641bdbd41a76a83a835a8,uncont,singleton,Is this vial not contaminated?,false,true,0.5,exp2_trial1,"{""strategy"":""For either option, his answer could be yes, no, or I don't know. I would rather ask \""is it not contaminated\"" because I feel more confident with the response.""}",FALSE,TRUE
6a09c48a77bfa2ae0045fb95,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""By reasoning effectively and using the instructions given""}",TRUE,FALSE
69fcba8a61fcf958c87765de,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""I asked if contaminated because i though sounded better than is not contaminated as its a double negative""}",TRUE,FALSE
5e175705cfe8dc000b559793,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""i wanted to know if that one was contaminated""}",TRUE,FALSE
6a00af92e3a74c417cf61bfc,uncont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""The question just sounds like it makes more sense than “is it not contaminated”, you can find out the same info with both questions I think.""}",TRUE,FALSE
57681fca8e454c000133a203,cont,singleton,Is this vial contaminated?,true,false,0.5,exp2_trial1,"{""strategy"":""It seems more plausible to ask if it is contaminated instead of if it’s isn’t. Seems like an unnecessary way of asking.""}",TRUE,FALSE
